"Name","DisplayName","State","StartMode","StartName","PathName"
"AarSvc_1f4c24","Agent Activation Runtime_1f4c24","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k AarSvcGroup -p"
"ADPSvc","ADPSvc","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"ALG","Application Layer Gateway Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\alg.exe"
"AMD Crash Defender Service","AMD Crash Defender Service","Running","Auto","LocalSystem","C:\Windows\System32\DriverStore\FileRepository\amdfendr.inf_amd64_1da2893e2ffb6838\amdfendrsr.exe"
"AMD External Events Utility","AMD External Events Utility","Running","Auto","LocalSystem","C:\Windows\System32\DriverStore\FileRepository\u0412269.inf_amd64_a4cc787315a2ff5b\B412205\atiesrxx.exe"
"amdpmfservice","AMD PMF Service","Running","Manual","LocalSystem","C:\Windows\System32\amdpmfservice.exe"
"AppIDSvc","Application Identity","Running","Manual","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Appinfo","Application Information","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"AppReadiness","App Readiness","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k AppReadiness -p"
"AppXSvc","AppX Deployment Service (AppXSVC)","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k wsappx -p"
"ApxSvc","Windows Virtual Audio Device Proxy Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Running","Auto","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Audiosrv","Windows Audio","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"autotimesvc","Cellular Time","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k autoTimeSvc"
"AxInstSV","ActiveX Installer (AxInstSV)","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k AxInstSVGroup"
"BcastDVRUserService_1f4c24","GameDVR and Broadcast User Service_1f4c24","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k BcastDVRUserService"
"BDESVC","BitLocker Drive Encryption Service","Stopped","Manual","localSystem","C:\Windows\System32\svchost.exe -k netsvcs -p"
"BFE","Base Filtering Engine","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p"
"BITS","Background Intelligent Transfer Service","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k netsvcs -p"
"BluetoothUserService_1f4c24","Bluetooth User Support Service_1f4c24","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k BthAppGroup -p"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"BTAGService","Bluetooth Audio Gateway Service","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted"
"BthAvctpSvc","AVCTP service","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p"
"bthserv","Bluetooth Support Service","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p"
"camsvc","Capability Access Manager Service","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k osprivacy -p"
"CaptureService_1f4c24","CaptureService_1f4c24","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k LocalService -p"
"cbdhsvc_1f4c24","Clipboard User Service_1f4c24","Running","Auto",,"C:\Windows\system32\svchost.exe -k ClipboardSvcGroup -p"
"CDPSvc","Connected Devices Platform Service","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p"
"CDPUserSvc_1f4c24","Connected Devices Platform User Service_1f4c24","Running","Auto",,"C:\Windows\system32\svchost.exe -k UnistackSvcGroup"
"CertPropSvc","Certificate Propagation","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs"
"ClickToRunSvc","Microsoft Office Click-to-Run Service","Running","Auto","LocalSystem","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" /service"
"ClipSVC","Client License Service (ClipSVC)","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k wsappx -p"
"CloudBackupRestoreSvc_1f4c24","Cloud Backup and Restore Service_1f4c24","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k UnistackSvcGroup"
"com.docker.service","Docker Desktop Service","Stopped","Manual","LocalSystem","""C:\Program Files\Docker\Docker\com.docker.service"""
"COMSysApp","COM+ System Application","Stopped","Manual","LocalSystem","C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}"
"ConsentUxUserSvc_1f4c24","ConsentUX User Service_1f4c24","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k DevicesFlow"
"CoreMessagingRegistrar","CoreMessaging","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p"
"CredentialEnrollmentManagerUserSvc_1f4c24","CredentialEnrollmentManagerUserSvc_1f4c24","Stopped","Manual",,"C:\Windows\system32\CredentialEnrollmentManager.exe"
"CryptSvc","Cryptographic Services","Running","Auto","NT Authority\NetworkService","C:\Windows\system32\svchost.exe -k NetworkService -p"
"DcomLaunch","DCOM Server Process Launcher","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"dcsvc","Declared Configuration(DC) service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"defragsvc","Optimize drives","Stopped","Manual","localSystem","C:\Windows\system32\svchost.exe -k defragsvc"
"DeviceAssociationBrokerSvc_1f4c24","DeviceAssociationBroker_1f4c24","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k DevicesFlow -p"
"DeviceAssociationService","Device Association Service","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DeviceInstall","Device Install Service","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"DevicePickerUserSvc_1f4c24","DevicePicker_1f4c24","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k DevicesFlow"
"DevicesFlowUserSvc_1f4c24","DevicesFlow_1f4c24","Running","Manual",,"C:\Windows\system32\svchost.exe -k DevicesFlow"
"DevQueryBroker","DevQuery Background Discovery Broker","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Dhcp","DHCP Client","Running","Auto","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"diagsvc","Diagnostic Execution Service","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k diagnostics"
"DiagTrack","Connected User Experiences and Telemetry","Stopped","Disabled","LocalSystem","C:\Windows\System32\svchost.exe -k utcsvc -p"
"DispBrokerDesktopSvc","Display Policy Service","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p"
"DisplayEnhancementService","Display Enhancement Service","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DmEnrollmentSvc","Device Management Enrollment Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"dmwappushservice","Device Management Wireless Application Protocol (WAP) Push message Routing Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Dnscache","DNS Client","Running","Auto","NT AUTHORITY\NetworkService","C:\Windows\system32\svchost.exe -k NetworkService -p"
"DoSvc","Delivery Optimization","Running","Auto","NT Authority\NetworkService","C:\Windows\System32\svchost.exe -k NetworkService -p"
"dot3svc","Wired AutoConfig","Stopped","Manual","localSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DPS","Diagnostic Policy Service","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p"
"DsmSvc","Device Setup Manager","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"DsSvc","Data Sharing Service","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DtsApo4Service","DtsApo4Service","Running","Auto","LocalSystem","C:\Windows\System32\DTS\PC\APO4x\DtsApo4Service.exe"
"DusmSvc","Data Usage","Running","Auto","NT Authority\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s DusmSvc"
"EapHost","Extensible Authentication Protocol","Stopped","Manual","localSystem","C:\Windows\System32\svchost.exe -k netsvcs -p"
"edgeupdate","Microsoft Edge Update Service (edgeupdate)","Stopped","Auto","LocalSystem","""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"" /svc"
"edgeupdatem","Microsoft Edge Update Service (edgeupdatem)","Stopped","Manual","LocalSystem","""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"" /medsvc"
"EFS","Encrypting File System (EFS)","Stopped","Manual","LocalSystem","C:\Windows\System32\lsass.exe"
"embeddedmode","Embedded Mode","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"EntAppSvc","Enterprise App Management Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k appmodelRedirectionGuard -p"
"EventLog","Windows Event Log","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"EventSystem","COM+ Event System","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p"
"fdPHost","Function Discovery Provider Host","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p"
"FDResPub","Function Discovery Resource Publication","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"fhsvc","File History Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"FontCache","Windows Font Cache Service","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p"
"FrameServer","Windows Camera Frame Server","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k Camera"
"FrameServerMonitor","Windows Camera Frame Server Monitor","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k CameraMonitor"
"GameInputRedistService","GameInput Redist Service","Stopped","Manual","LocalSystem","""C:\Program Files\Microsoft GameInput\x64\GameInputRedistService.exe"""
"GameInputSvc","GameInput Service","Stopped","Manual","LocalSystem","C:\Windows\System32\GameInputSvc.exe"
"GamingServices","Gaming Services","Running","Auto","LocalSystem","""C:\Program Files\WindowsApps\Microsoft.GamingServices_34.110.25001.0_x64__8wekyb3d8bbwe\GamingServices.exe"""
"GamingServicesNet","Gaming Services","Running","Auto","NT AUTHORITY\LocalService","""C:\Program Files\WindowsApps\Microsoft.GamingServices_34.110.25001.0_x64__8wekyb3d8bbwe\GamingServicesNet.exe"""
"GoogleChromeElevationService","Google Chrome Elevation Service (GoogleChromeElevationService)","Stopped","Manual","LocalSystem","""C:\Program Files\Google\Chrome\Application\145.0.7632.160\elevation_service.exe"""
"GoogleUpdaterInternalService147.0.7703.0","Google Updater Internal Service (GoogleUpdaterInternalService147.0.7703.0)","Stopped","Auto","LocalSystem","""C:\Program Files (x86)\Google\GoogleUpdater\147.0.7703.0\updater.exe"" --system --windows-service --service=update-internal"
"GoogleUpdaterService147.0.7703.0","Google Updater Service (GoogleUpdaterService147.0.7703.0)","Stopped","Auto","LocalSystem","""C:\Program Files (x86)\Google\GoogleUpdater\147.0.7703.0\updater.exe"" --system --windows-service --service=update"
"gpsvc","Group Policy Client","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k GPSvcGroup"
"GraphicsPerfSvc","GraphicsPerfSvc","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k GraphicsPerfSvcGroup"
"hidserv","Human Interface Device Service","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"hns","Host Network Service","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k NetSvcs -p"
"hpatchmon","Hotpatch Monitoring Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"HvHost","HV Host Service","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"icssvc","Windows Mobile Hotspot Service","Stopped","Manual","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"IgoAudioService","intelliGo Audio Service","Running","Auto","LocalSystem","C:\Windows\System32\DriverStore\FileRepository\igoaudioservice.inf_amd64_ddea067f7a4f87a6\IgoAudioService_x64.exe"
"IKEEXT","IKE and AuthIP IPsec Keying Modules","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"InstallService","Microsoft Store Install Service","Running","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k netsvcs -p"
"InventorySvc","Inventory and Compatibility Appraisal service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k InvSvcGroup -p"
"iphlpsvc","IP Helper","Running","Auto","LocalSystem","C:\Windows\System32\svchost.exe -k NetSvcs -p"
"IpxlatCfgSvc","IP Translation Configuration Service","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"KeyIso","CNG Key Isolation","Running","Auto","LocalSystem","C:\Windows\system32\lsass.exe"
"KtmRm","KtmRm for Distributed Transaction Coordinator","Stopped","Manual","NT AUTHORITY\NetworkService","C:\Windows\System32\svchost.exe -k NetworkServiceAndNoImpersonation -p"
"LanmanServer","Server","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"LanmanWorkstation","Workstation","Running","Auto","NT AUTHORITY\NetworkService","C:\Windows\System32\svchost.exe -k NetworkService -p"
"lfsvc","Geolocation Service","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"LibreOfficeMaintenance","LibreOffice Maintenance Service","Stopped","Manual","LocalSystem","""C:\Program Files\LibreOffice\program\update_service.exe"""
"LicenseManager","Windows License Manager Service","Running","Manual","NT Authority\LocalService","C:\Windows\System32\svchost.exe -k LocalService -p"
"lltdsvc","Link-Layer Topology Discovery Mapper","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalService -p"
"lmhosts","TCP/IP NetBIOS Helper","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"LocalKdc","Kerberos Local Key Distribution Center","Stopped","Manual","LocalSystem","C:\Windows\System32\lsass.exe"
"LSM","Local Session Manager","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"LxpSvc","Language Experience Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs"
"MapsBroker","Downloaded Maps Manager","Stopped","Auto","NT AUTHORITY\NetworkService","C:\Windows\System32\svchost.exe -k NetworkService -p"
"McmSvc","Mobile Connectivity Management Service","Stopped","Manual","NT SERVICE\McmSvc","C:\Windows\system32\svchost.exe -k McmSvc -p -s McmSvc"
"McpManagementService","McpManagementService","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k McpManagementServiceGroup"
"MDCoreSvc","MDCoreSvc","Running","Auto","LocalSystem","""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26010.5-0\MpDefenderCoreService.exe"""
"MessagingService_1f4c24","MessagingService_1f4c24","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k UnistackSvcGroup"
"MicrosoftEdgeElevationService","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)","Stopped","Manual","LocalSystem","""C:\Program Files (x86)\Microsoft\Edge\Application\146.0.3856.59\elevation_service.exe"""
"midisrv","Windows MIDI Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\midisrv.exe"
"mpssvc","Windows Defender Firewall","Running","Auto","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p"
"MSDTC","Distributed Transaction Coordinator","Stopped","Manual","NT AUTHORITY\NetworkService","C:\Windows\System32\msdtc.exe"
"MSI Foundation Service","MSI Foundation Service","Running","Auto","LocalSystem","""C:\Program Files (x86)\MSI\MSI Center S\MSIAPService.exe"""
"MSI_Center_S_Service","MSI_Center_S_Service","Running","Auto","LocalSystem","""C:\Program Files (x86)\MSI\MSI Center S\MSI_Center_S_Service.exe"""
"MSiSCSI","Microsoft iSCSI Initiator Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"msiserver","Windows Installer","Stopped","Manual","LocalSystem","C:\Windows\system32\msiexec.exe /V"
"NaturalAuthentication","Natural Authentication","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"NcaSvc","Network Connectivity Assistant","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k NetSvcs -p"
"NcbService","Network Connection Broker","Running","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"NcdAutoSetup","Network Connected Devices Auto-Setup","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p"
"Netbird","Netbird","Running","Auto","LocalSystem","""C:\Program Files\Netbird\Netbird.exe"" service run --log-level info --daemon-addr tcp://127.0.0.1:41731 --log-file C:\ProgramData\Netbird\client.log"
"Netlogon","Netlogon","Stopped","Auto","LocalSystem","C:\Windows\system32\lsass.exe"
"Netman","Network Connections","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"netprofm","Network List Service","Running","Manual","NT AUTHORITY\NetworkService","C:\Windows\System32\svchost.exe -k netprofm -p"
"NetSetupSvc","Network Setup Service","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k netsvcs -p"
"NetTcpPortSharing","Net.Tcp Port Sharing Service","Stopped","Disabled","NT AUTHORITY\LocalService","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe"
"NgcCtnrSvc","Microsoft Passport Container","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"NgcSvc","Microsoft Passport","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"NlaSvc","Network Location Awareness","Stopped","Manual","NT AUTHORITY\NetworkService","C:\Windows\System32\svchost.exe -k netprofm -p"
"NPSMSvc_1f4c24","Now Playing Session Manager Service_1f4c24","Running","Manual",,"C:\Windows\system32\svchost.exe -k LocalService -p"
